model_name,topic,topic_name,top_words,documents,sample_texts
KMeans,5,"россия, человек, рубль","россия, человек, рубль, российский, самый, большой, компания, работать, тысяча, хороший",41202,"Порой кажется, что мы в своем познании настолько преисполнились, что россиян уже ничем не удивить. Но новостям из регионов удается это сделать. Собрали для вас самое странное:
Башкирская спортсменка
проиграла
бой трансгендеру
В Белгороде
следят
за задержанием местного блогера за оскорбление верующих
В Волгограде хотят
провести
референдум по переименованию города в Сталинград
В Красноярске
потратят
6 млн рублей на флаги, которые постоянно рвутся
В Нижнем Новгороде колонию
заподозрили
в плохом отношении к оленю
В Нижнем Тагиле
нашли
след задержанного по подозрению в шпионаже американца
В Новосибирске мальчик
доплыл
до детского сада по лужам на ватрушке
В Петрозаводске глава Карели
ополчился
на ЖКХ-арт
Под Ростовом
случился
снежный апокалипсис
В Челябинске появилась услуга по
выносу
мусора за ленивых жителей || Обзорная Сводка от
Двух майоров
на утро 12 мая 2024 года
Подписывайтесь на МоскалькоVа
, хотя бы формально!
БОльшее количество подписчиков помогает ему эффективнее бороться с либеральной нечистью, заполонившей нашу культуру и образование, привлекать внимание к проблемам мобилизованных и, конечно, помогать фронту.
#Сводка
#СКО
#два_майора || Министерство культуры Франции признало национальным достоянием два пистолета из коллекции Наполеона Бонапарта, которые он хотел использовать для самоубийства, и запретило вывозить их с территории страны.
Соответствующий декрет был опубликован в официальном вестнике правительства республики Journal officiel. || После гибели кота Твикса в России утвердили регламент действий сотрудников поездов и вокзалов, обнаруживших животное без хозяина
В таких случаях работники поездной бригады будут искать информацию о владельцах на адресниках и переносках животных, опросят пассажиров и проверят данные о пассажирах с питомцами в системе ФПК.
Если хозяева не нашлись, животное переместят в специальное багажное купе или на служебное место в штабном вагоне, где оно доедет до станции. Сотрудники станции заберут животное из поезда и передадут его зоозащитникам.
ВПШ
🐍 || 🚘
АвтоВАЗ
представил
новый кроссовер Lada X-Cross 5
Это перебрендированный китайский автомобиль FAW Bestune T77. Его будут выпускать на бывшем заводе Nissan в Санкт-Петербурге."
KMeans,9,"украина, путин, россия","украина, путин, россия, президент, страна, сша, российский, военный, владимир, зеленский",10656,"Заявления Зампреда Совбеза РФ Медведев:
▪️
Западные противники решили реально разгромить крупнейшую ядерную державу - Россию,
они без сомнения, конченые придурки;
▪️
Россия была вынуждена проводить специальную военную операцию для защиты своего суверенитета и миллионов людей.
Киевский режим должен быть выброшен на свалку и запрещен как фашистский
;
▪️
Зерновая сделка
в нынешнем виде не нужна и
должна быть расторгнута
Прямой эфир - подписаться || Мария Захарова опровергла информацию Минобороны Азербайджана о том, что командование российских миротворцев заблаговременно предупредили о начале военных действий. Информация была доведена до российского контингента за несколько минут до начала боевых действий.
МИД Армении выпустил заявление по поводу ситуации в Нагорном Карабахе:
— 19 сентября Азербайджан развязал очередную крупномасштабную агрессию против народа Нагорного Карабаха, стремясь завершить политику этнической чистки.
— Мы решительно осуждаем агрессию Азербайджана против Нагорного Карабаха и массовое преступление, произошедшее ровно три года назад.
— Гражданские населённые пункты, город Степанакерт, другие города и села подвергаются обстрелам со стороны Азербайджана под ложным предлогом ""уничтожения военных объектов"".
— Армянская сторона неоднократно предупреждала, что продолжающаяся агрессия Азербайджана против Нагорного Карабаха, неприкрытая воинственная риторика, абсолютно лживая и предосудительная пропаганда называния населения Нагорного Карабаха ""террористами"" преследуют одну цель: подчинить население Нагорного Карабаха, провести этническую чистку с применением силы, лишить население Нагорного Карабаха свободы права жить и творить достойно.
— Ту же цель преследуют незаконная блокировка Лачинского коридора, единственной дороги, соединяющей Нагорный Карабах с Арменией, и полная блокада Нагорного Карабаха с декабря 2020 года.
— Атаке предшествовало распространение МИД Азербайджана ложной информации о минных и диверсионных операциях, что свидетельствует о планировании атаки и обеспечении информационного поля.
— Призываем российских миротворцев и Совбез ООН принять меры для прекращения агрессии Азербайджана.
Никол Пашинян созвал экстренное заседание Совбеза Армении.
😋
Подписывайся на Mash || Автомобили с российской регистрацией, находящиеся в Эстонии, следует конфисковывать или перерегистрировать, заявил глава МВД страны Лаури Ляэнеметс (цитата по ERR):
«Моя точка зрения такова, что санкции должны быть выполнены, и эти автомобили [с номерами России] необходимо будет конфисковать, мы должны к этому прийти. <...> Если эти машины постоянно здесь передвигаются, то, может, они должны быть зарегистрированы в Эстонии?»
По действующим таможенным правилам Эстонии, в страну нельзя въезжать автомобилям с российскими номерами. Запрет распространяется только на легковые машины вместимостью до девяти пассажиров — автобусы и мотоциклы по-прежнему могут пересекать эстонскую границу. Власти Эстонии также не запрещают ездить на автомобилях с российскими номерами, которые уже находятся на территории страны. || Президент Ирана призвал членов БРИКС предпринять практические шаги, чтобы в будущем одни страны не могли подвергать санкциям других || Песков:
Москва категорически отвергает любые обвинения в убийстве гражданских в Буче. Эта информация должна быть подвергнута серьезному сомнению, там есть признаки фейков. Россия предлагала рассмотреть эту тему в Совбезе ООН, но инициатива была заблокирована.
В Кремле требуют, чтобы международные лидеры не спешили с огульными обвинениями и запросили данные из разных источников. Кремль не комментирует, как эта ситуация может отразиться на переговорах России и Украины."
KMeans,0,"мужчина, летний, полиция","мужчина, летний, полиция, задержать, женщина, ребёнок, девушка, сотрудник, больница, полицейский",10154,"В Свердловской области мать спасла дочку от насильника.
Школьница после прогулки вечером зашла в лифт, а следом за ней – незнакомец. Как только двери закрылись, он накинул ей на шею петлю, начал душить и трогать за интимные места.
На 10-ом этаже несовершеннолетнюю ждала мать преклонного возраста. Она сразу же накинулась на мужчину и принялась избивать его голыми руками. Насильник испугался и убежал, (повезло, что живой). На данный момент злодей задержан, он сознался в содеянном.
Русская женщина не только коня на скаку остановит, но и голыми руками любого негодяя убьет. || Родственников 88-летнего раненного в ногу украинским снарядом дедушки с этого видео разыскивают власти Курской области. Чтобы установить его личность и помочь с похоронами — он скончался в одной из больниц региона.
Как стало известно Mash, пенсионер жил в рабочем посёлке Глушково. В одном из домов его нашли волонтёры из Южной Осетии — напоили водой (был обезвожен), перевязали ногу, переправили на другой берег на лодке через Сейм, потом стали ждать эвакуационную машину. В это время старик запел неофициальный гимн ВДВ ""Синева"". Затем рассказал, что служил три года моряком, когда дембельнулся, стал промышленным матросом.
Со слов волонтёров, когда мужчину везли в больницу, он просил передать военным, чтобы те разгромили ВСУ полностью. Медики оказали ему всю необходимую помощь, но вечером дедушке поплохело — резко заболело сердце. Спасти его не смогли. Теперь власти Курской области хотят найти его ближайших родственников, чтобы помочь с организацией похорон и оказать всю необходимую помощь.
❗️
Подписывайся на Mash || Невероятная история с Дальнего Востока: мужчина смог выжить после двух месяцев плавания на лодке, которая пропала в Охотском море ещë в начале августа. Два его спутника за это время скончались, а судно обнаружили только сейчас — на него случайно наткнулись рыбаки.
По информации SHOT, 9 августа этого года 49-летний Сергей Пичугин вместе с 46-летним братом Михаилом и 15-летним сыном Ильëй (на фото) отправились на лодке катамаранного типа ""Байкат 470"" от мыса Перовского в Хабаровском крае в сторону города Оха Сахалинской области. Расстояние около 150 км лодка должна была преодолеть за несколько часов, но спустя трое суток пассажиры так и не прибыли в точку назначения.
В ходе плавания судно по каким-то причинам сбилось с пути и потеряло управляемость, предварительно — из-за сильного шторма. В итоге путешественники дрейфовали в открытом Охотском море больше двух месяцев, их не могли найти, была версия, что лодка просто перевернулась и затонула.
Однако, сегодня судно смогли обнаружить рыбаки в районе села Усть-Хайрюзово Камчатского края — а это почти в 1000 км от Охи, куда направлялись туристы (карта на третьем фото). Сейчас на траулере пострадавшего и тела погибших уже везут в Магадан.
По данным SHOT, за время дрейфа по Охотскому морю погибли сын и отец, 46-летний Михаил жив, но находится в очень тяжëлом состоянии.
В данный момент следователи и сотрудники прокуратуры выясняют все подробности и обстоятельства случившегося, уже было возбуждено дело по статье ""Нарушение правил безопасности движения и эксплуатации водного транспорта"".
🎯
Подписывайся на SHOT
📩
Прислать новость || Школьник с молотками и ножом напал на одноклассников в Балаганске Иркутской области. Ранения получили как минимум три ученика.
Всё произошло на перемене. Восьмиклассники готовились к физре. В раздевалке Артём Б. накинулся на одного из юнцов — попал ему по затылку. Затем начал кричать и нанёс несколько ударов по рукам.
Вскоре прибежал преподаватель физкультуры и обезвредил Тёму. Как стало известно Mash, мальчик из хорошей, полной семьи. У него есть младший 5-летний брат.
❗️
Подписывайся на Mash || Только спустя пять дней удалось открыть оба глаза — жительница Казани, заболевшая ботулизмом, рассказала о своем состоянии спустя неделю после отравления
Одна из заказавших лобио из «Самоката» от «Кухни на районе» в Казани сейчас находится в больнице и, чтобы как-то отвлечься, каждодневно рассказывает о своем состоянии подписчикам в соцсетях. Женщине очень тяжело дается каждое слово — ботулизм вызвал паралич мышц. Ей с трудом удалось открыть оба глаза только на пятый день.
Отравилась женщина в четверг, а в самом «Самокате», как писала Readovka,
узнали
о наличии опасной продукции только ближе к воскресенью. По словам же самой девушки, первые признаки у нее проявились спустя 30 часов после отравления, а скорую она вызвала лишь в воскресенье, когда уже началось двоиться в глазах и не могла встать с кровати. Учитывая, что пострадавшая работает визажистом, примерно на полгода она лишена способа заработка — именно столько, по прогнозам врачей, уйдет на полное восстановление."
KMeans,6,"пострадать, человек, пожар","пострадать, человек, пожар, погибнуть, взрыв, дом, результат, мчс, человек погибнуть, здание",6605,"«Я понимаю, что новости про ситуацию с нашим зданием у многих вызывают много вопросов и переживаний».
Сотрудников Минэкономразвития не стали отпускать на удаленку после
первой атаки
на «Москву-Сити». Сегодня ночью башню, в которой располагается офис министерства, атаковали второй раз.
О продолжении работы в офисе написал министр Максим Решетников. По словам чиновника, после первого взрыва в башне «IQ-квартал» специалисты провели проверку здания и уверили, что в нём можно находиться и работать. «Поэтому 31 июля у нас рабочий день, текущий рабочий график», — написал Решетников в рассылке и пожелал сотрудникам спокойной рабочей недели.
Однако уже сегодня ночью спокойствие прервал второй беспилотник. БПЛА
взорвался
на уровне 21-го этажа — именно там расположен офис Минэкономразвития. Пострадавших при взрыве не было, внутри здания сработала система пожаротушения. По данным МЧС, в результате атаки нарушено 150 метров остекления.
Башня «IQ-квартал» в «Москве-Сити» была атакована дважды — оба раза в неё врезались беспилотники. При атаке 30 июля пострадал офис Минцифры.
После очередного прилёта беспилотников СК возбудил уголовное дело о теракте. || Потерпевшими по делу о прошлогоднем взрыве в Сергиевом Посаде признаны 13 человек, ими заявлены гражданские иски, расследование дела продолжается, поэтому число исков может возрасти, говорится в судебных материалах, которые есть у РИА Новости.
С исками о компенсации вреда могут обратиться как родственники погибших, так и другие пострадавшие, а также собственники поврежденного имущества. || Туристы из Москвы попали под камнепад в Чегемском районе КБР. Пострадали трое.
Группа из 8 человек была официально зарегистрирована. Они находились в горах 10 дней и уже в воскресенье должны были закончить маршрут.
В результате обвала один из туристов получил ушибы и ссадины. Двум девушкам повезло меньше. У одной подозревают серьезную травму грудной клетки, у другой - повреждение позвоночника. Передвигаться самостоятельно они не могут.
К месту ЧП выдвинулся отряд из 20 спасателей. Утром на эвакуацию пострадавших планируют направить вертолет. || В Санкт-Петербурге мощный пожар в районе “Зенит-Арены”
Загорелось здание бывшего спортивного клуба Sport Palace на Крестовском острове (Южная дорога, 9), который в данный момент не работает. Его признали самостроем и опечатали в 2021 году. По предварительным данным, площадь возгорания составляет 200 квадратных метров. || БПЛА повредил здание администрации в Белгороде. Выбиты двери и окна.
🎯
Подписывайся на SHOT"
KMeans,2,"дело, уголовный, суд","дело, уголовный, уголовный дело, суд, возбудить, возбудить уголовный, статья, задержать, следствие, арестовать",5355,"ФАС возбудила дело в отношении ВТБ из-за нарушений в рекламе вклада.
По мнению ведомства, такие действия могут ввести потребителей в заблуждение и содержат признаки нарушения закона о рекламе.
Ранее в ФАС России поступило обращение гражданина с жалобой на рекламу ВТБ, которая транслировалась на рекламной конструкции в Москве. || Суд отправил защищавшего Навального адвоката Игоря Сергунина в СИЗО — «Медиазона»
Фото: Александра Астахова/«Медиазона» || В Москве задержана глава межрайонной налоговой инспекции №3.
Марине Чайко уже предъявлено обвинение в злоупотреблении должностными полномочиями.
В преступную схему начальница ИФНС также привлекла своего мужа. Она устраивала супруга на работу в проверяемые организации с зарплатой в 2 миллиона рублей. Взамен обещала руководству компаний не проводить проверок.
Алексею Прядко также предъявлено обвинение в пособничестве. Сегодня ночью в их квартире на Нелидовской улице, а также ещё по 20 адресам прошли обыски. Изъяты десятки миллионов рублей, часы элитных марок и ювелирные изделия. || Знаменитого адвоката Эльмана Пашаева задержали в Москве. Его подозревают в получении взятки от Алексея Блиновского. Возбуждено уголовное дело о мошенничестве в особо крупном размере.
Следователи считают, что в феврале Пашаев убедил Блиновского в возможности закрыть вопрос с уголовкой в отношении его супруги. И получил за это ""крупное денежное вознаграждение"" от мужа королевы марафонов. В настоящее время решается вопрос об избрании меры пресечения в отношении Пашаева.
Мы писали, что Алексея Блиновского задержали 9 сентября за неявку в СК для ознакомления с материалами уголовного дела. Причём он знал, что его ищут, но специально попросил командование отправить его возить боеприпасы. Чтобы не задерживаться в одном месте.
❗️
Подписывайся на Mash || Бывший топ-менеджер «Роскосмоса» Владимир Мешков заочно арестован в Москве — он объявлен в международный розыск
Басманный суд Москвы заочно арестовал экс-топ-менеджера «Роскосмоса» Владимира Мешкова по делу о мошенничестве в особо крупном размере. Он причастен к хищению более 600 млн руб из бюджетных средств, выделенных на реконструкцию стендов в НИЦ ракетно-космической промышленности — основной структуры «Роскосмоса», занимающейся испытаниями жидкостных ракетных двигателей.
Мешкову избрана мера пресечения в виду заключения под стражу на два месяца с момента задержания на территории России или экстрадиции — сейчас подозреваемый скрывается за границей, он объявлен в международный розыск. По инкриминируемой статье ему грозит до десяти лет лишения свободы."
KMeans,4,"область, курский, беспилотник","область, курский, беспилотник, курский область, губернатор, белгородский, пво, бпнуть, сбить, украинский",4775,"""Никто никуда не уедет, люди на месте, мы чувствуем поддержку друг друга — и мы это всё переживём"".
Это слова священника из села Попово-Лежачи Глушковского района, регулярно обстреливаемого ВСУ. Прямо на границе Курской области с Украиной. Он уверяет: Богу молимся по расписанию, жители приходят на службы и ничего не боятся. А все неприятности — переждём, мы люди закалённые.
Другие жители района из Тёткино — где атаки чуть активнее — иногда выезжают за пределы села. Не хотят, но приходится. Кто — ночует на трассе, кто — у родных. Оставшиеся пенсионеры и сотрудники завода уже привыкли. Обустроили в подвалах бомбоубежища со всем необходимым: таблетками, водой, консервами и тёплыми вещами. || Сразу несколько беспилотников пытались
атаковать
нефтехранилища в Воронежской области.
Первый дрон был обнаружен около 23 часов на территории воронежского цеха «Роснефти» на улице Димитрова. В результате его падения никто не пострадал.
Еще один беспилотник был сбит спустя 7 минут в нескольких километрах от аэродрома «Балтимор». Пострадавших нет.
Спустя полчаса был обнаружен и нейтрализован и третий беспилотник. На этот раз в поселке Софьино Новоусманского района. По данным «Базы» он пытался атаковать местную производственно-диспетчерскую станцию «Воронеж».
В итоге дрон упал на крышу одного из резервуаров. Пострадавших и разрушений нет.
Около половины третьего ночи был сбит и еще один дрон. На этот раз в районе села Гремячье Хохольского района. Пострадавших и разрушений нет. || В украинской разведке
заявили
, что северокорейских военных разместили в Курской области в 50 километрах от границы
Об этом сообщила Financial Times. Военные из КНДР, как утверждается, находятся в Курской области с 28 октября. Они представляют элитный 11-й армейский корпус, известный как «Штурмовой корпус»
В украинской разведке усомнились в боевых возможностях военнослужащих из Северной Кореи, поскольку те никогда не покидали свою страну и не участвовали в реальных боях. || Несколько беспилотников сбили в небе над Кулебакским округом. Экстренные службы работают на месте. Предварительно, пострадавших нет — губернатор Никитин.
❤️
Подписывайся на Ni Mash || Шестой по счёту дрон ВСУ сбили в небе над подмосковным Раменском. Об этом заявил мэр Собянин.
❗️
Подписывайся на Mash"
KMeans,8,"москва, ожидаться, центр","москва, ожидаться, центр, дождь, температура, центр москва, столица, градус, москвача, синоптик",4562,"❗️
РЖД запустили в Москве первый в России беспилотный поезд ""Ласточка"", передает корреспондент РИА Новости. Состав начал перевозить пассажиров на МЦК.
Поезд едет сам, но машинист находится в кабине для контроля, а также открытия и закрытия дверей, пояснили в РЖД.
Теперь беспилотная ""Ласточка"" будет ездить на МЦК регулярно в общем потоке обычных поездов, которые управляются только машинистами. || 🍾
Алкогольный напиток «Мистер Сидр», от отравления которым скончались 18 человек, начали изымать в Москве
В составе сидра обнаружен метиловый спирт, который стал причиной отравления. Число пострадавших продолжает расти. || В Москве скончался актёр Армен Джигархарян. Об этом сообщает театр.
Ему было 85 лет. || ⚡️
В Москве и области началась новая волна ливней — РБК || Дым над Москва-Сити — последствия прилета беспилотника.
По данным Собянина, поврежден фасад на уровне 17 этажа, на месте работают спасатели."
KMeans,1,"противник, направление, всу","противник, направление, всу, запорожский, бой, пункт, позиция, войско, враг, запорожский направление",3799,"Над Авдеевским терриконом коксохима реет русский триколор — долгожданные кадры, подтверждающие наш контроль над ключевой высотой на Авдеевском направлении
Видеозапись с квадрокоптера подводит черту под всеми домыслами и неподтвержденными инсайдами — над
терриконом
Авдеевского коксохимзавода установлены и гордо реют два полотнища — русский триколор и штандарт 114-й бригады, штурмовавших эту высоту. До этого информация о взятии русскими бойцами террикона уже появлялась, но в украинских СМИ ее пытались опровергнуть. Теперь многочисленные инсинуации на этот счет неуместны.
Бои на этом направлении, откуда временно не приходило громких новостей, продолжаются. Вопрос Авдеевки, как и прежде, равен вопросу снятия существенной части огневого давления врага на мирные кварталы Донецка и Макеевки. Выглянувшее в момент съемки солнце дает надежду, что мы в конце концов придем здесь к победе, которая не будет легкой. || 🪂
👼
Ночью были жестокие бои, противник пытается пробиваться в одних и тех же местах, трупы их лежат в лесопосадках, замечены иностранные наемники.
Подразделения ВДВ активно применяют ударные FPV дроны, 291 МСП уничтожает врага в лесопосадках.
За ночь есть уничтожения дронами-камикадзе несколько танков и 1 ББМ, которое пыталось выскочить для прикрытия пехоты.
Было порядка 2 запросов на гум коридор и несколько попыток прикрыть отход раненых танками.
Немало подрывов на минных заграждениях (70 МСП спасибо)
Продолжаем дальше уничтожать врага! На связи Атлет.
Архангел Спецназа. Подписаться. || 👼
Наблюдатель больше ничего не передаст своему руководству.
Наши «призраки» в очередной раз ликвидируют бойцов из «
элитной
» 95 бригады ВСУ.
Но вы можете сдаться в плен, выйдя на 149.200
Архангел Спецназа. Подписаться. || Желающих воспользоваться фактической обстановкой для организации паники много, но поводов для паники я не давал. Скорее для бдительности и спортивной злости. Закрепиться ли противник на тех рубежах, где идут бои покажут ближайшие сутки
, — военкор Поддубный
ВПШ
🐍 || #Сводка на утро 11 октября 2024 года
▪️
На
Курском
направлении
ВС России вчера провели решительные наступательные действия. Группировка войск «Север» сообщает, что в районе н.п. Любимовка наши штурмовые группы прорвали оборону ВСУ, освободили 5 населённых пунктов и окружили не менее двух батальонов противника, перерезав две важные дороги снабжения и эвакуации. Враг ошеломлен нашим наступлением и спешно перебрасывает 47 омбр на Суджанское направление. Ресурсы противника на фоне кадров объективного контроля вынуждены признать успехи Армии России.
▪️
Четвертую ночь подряд ВС России наносят удары по портовой инфраструктуре
Одесской
области
. Один из прилетов пришелся в районе Усатово/Дачное/Кривая балка
▪️
На Харьковском направлении в Волчанске идут удары ФАБ с УМПК и ОДАБ по
мукомольному комбинату
в западной части города, где окопался противник.
▪️
На
Купянском
направлении
наши войска атакуют со стороны Синьковки в направлении Петропавловки.
▪️
В
Торецке
(
Дзержинске
) ВС России продвигаются вдоль улицы 51-ой Армии в центральной части. Севернее Нью-Йорка (Новгородского) наши подразделения атакуют на глубину до 750 метров.
▪️
На
Кураховском
направлении
бои в направлении Островского, у Катериновки (Екатериновки) и в Максимильяновке.
▪️
Ночью в
Брянской
области
уничтожены два беспилотных летательных аппарата самолетного типа ВСУ. В  Ростовской области.  средствами РЭБ нейтрализовано 4 БПЛА севернее Каменска-Шахтинского.
▪️
В
Белгородской
области
под ударами Шебекино. Ранено двое гражданских, повреждены предприятия и жилые дома.  В посёлке Борисовка дрон атаковал припаркованный легковой автомобиль, ранен водитель. Артобстрелу подверглось село Тишанка Волоконовского района.
Сводку составили:
Два майора"
KMeans,3,"самолёт, аэропорт, борт","самолёт, аэропорт, борт, рейс, пассажир, посадка, пилот, крушение, экипаж, внуково",2190,"Режим временного ограничения полётов в 11 аэропортов юга и центральной части России продлён до 18 июня — Росавиация.
По-прежнему закрыты аэропорты Анапы, Белгорода, Брянска, Воронежа, Геленджика, Краснодара, Курска, Липецка, Ростова-на-Дону, Симферополя и Элисты. || В Бразилии потерпел крушение пассажирский самолет; данных о жертвах пока нет, судно вмещает до 68 пассажиров — Globo || Аэропорты Шереметьево, Домодедово, Внуково и Жуковский по данным на 20.30 мск работают штатно — Росавиация || Госдеп США предупредил о возможных санкциях против грузинских авиакомпаний, если те будут обслуживать попавшие под санкции российские самолеты, сообщает грузинское издание Accent news:
«Ряд западных стран, включая США, запрещают российским самолетам заходить в их воздушное пространство. Если прямые рейсы между Россией и Грузией будут возобновлены, это вызовет нашу обеспокоенность и сделает возможным введение санкций в отношении грузинских авиакомпаний, обслуживающих воздушные суда, подпадающие под импортный и экспортный контроль. Все западное сообщество дистанцировалось от этого жестокого режима — сейчас не время углублять отношения с Россией». || Вертолёт Ми-8 пропал на Камчатке. По предварительным данным, на борту находятся 22 человека: 19 туристов и 3 члена экипажа.
Вертолёт пропал с радаров в районе вулкана «Вачкажец» - именно оттуда он должен был забрать 19 туристов, однако около 7 утра (по мск) перестал выходить на связь. Успели ли туристы сесть на борт - выясняется.
На поиски пропавшего вертолета вылетел другой вертолет.
❗
Подписывайтесь, это Baza"
KMeans,7,"израиль, израильский, хамас","израиль, израильский, хамас, сектор газ, сектор, газ, иран, цахать, удар, хезболл",1675,"Израильская атака по Ирану ограничилась военными целями,
а не ядерными или нефтяными объектами
, утверждает CBS News со ссылкой на источник || Иранское постпредство при ООН назвало США соучастником преступления Израиля
, комментируя удары по территории Ирана.
Генштаб Ирана ранее заявил, что Израиль для нанесения удара использовал территорию Ирака, находящуюся под контролем армии США. || Наземная операция Израиля в секторе Газа должна была начаться в выходные, но была отложена на несколько дней, в том числе из-за погодных условий — высокопоставленные источники в ЦАХАЛ/The New York Times
Предполагается, что в наземной операции будут участвовать десятки тысяч солдат сухопутных войск, а также танки, саперы и спецназ под прикрытием авиации и артиллерии. Источники NYT сообщили, что облачная погода может помешать пилотам и операторам беспилотников. || ❗️
Министр обороны Израиля заявил, что его страна нанесет по Ирану столь ""смертоносный, точный и неожиданный удар"",
что иранцы не успеют ничего понять || Иран через третью страну проинформировал Израиль, что не будет реагировать на израильский удар, сообщает Sky News Arabia.
По меньшей мере два военнослужащих иранской армии погибли в результате атаки Израиля на Иран. Об этом говорится в заявлении вооруженных сил исламской республики."
